Trans_Time,Cost
datetime,float
T,
7/31/2010 1:50,78
7/31/2010 1:51,140.59
7/31/2010 1:51,256.76
7/31/2010 1:51,638.42
7/31/2010 1:51,142.5
7/31/2010 1:51,144.85
7/31/2010 1:51,140.69
7/31/2010 1:52,464.85
7/31/2010 1:52,0
7/31/2010 1:52,190
7/31/2010 1:52,311.5
7/31/2010 1:52,483.89
7/31/2010 1:53,613.93
7/31/2010 1:53,652.82
7/31/2010 1:53,140.5
7/31/2010 1:53,0
7/31/2010 1:54,275.65
7/31/2010 1:54,158.1
7/31/2010 1:54,184.67
7/31/2010 1:54,30.06
7/31/2010 1:54,143.3
7/31/2010 1:55,477.49
7/31/2010 1:55,461.4
7/31/2010 1:55,0
7/31/2010 1:56,312.06
7/31/2010 1:57,602.9
7/31/2010 1:57,89.5
7/31/2010 1:57,413.84
7/31/2010 1:57,23.13
7/31/2010 1:57,398.73
7/31/2010 1:57,105.68
7/31/2010 1:57,220.82
7/31/2010 1:57,166.25
7/31/2010 1:57,485.44
7/31/2010 1:57,112.3
7/31/2010 1:57,131.8
7/31/2010 1:58,25.05
7/31/2010 1:58,175
7/31/2010 1:58,514
7/31/2010 1:58,116.94
7/31/2010 1:58,159.93
7/31/2010 1:58,229.73
7/31/2010 1:58,365.87
7/31/2010 1:58,80.9
7/31/2010 1:59,63.75
7/31/2010 1:59,378.85
7/31/2010 1:59,10.25
7/31/2010 2:00,225.96
7/31/2010 2:00,219.68
7/31/2010 2:00,307.99
7/31/2010 2:00,494.19
7/31/2010 2:00,144.62
7/31/2010 2:01,326.51
7/31/2010 2:01,148.53
7/31/2010 2:01,84.8
7/31/2010 2:02,414.04
7/31/2010 2:03,369.37
7/31/2010 2:03,145.51
7/31/2010 2:03,175.26
7/31/2010 2:04,142.43
7/31/2010 2:04,148.48
7/31/2010 2:04,446.05
7/31/2010 2:04,204.79
7/31/2010 2:05,221.32
7/31/2010 2:05,137.49
7/31/2010 2:05,217.32
7/31/2010 2:05,180.12
7/31/2010 2:06,307.97
7/31/2010 2:06,287.91
7/31/2010 2:06,238.45
7/31/2010 2:06,147.95
7/31/2010 2:07,100.1
7/31/2010 2:07,197.98
7/31/2010 2:07,547.98
7/31/2010 2:08,84.44
7/31/2010 2:08,347.37
7/31/2010 2:08,100
7/31/2010 2:08,416.35
7/31/2010 2:08,135.63
7/31/2010 2:08,528.4
7/31/2010 2:09,171
7/31/2010 2:09,78.98
7/31/2010 2:09,85.16
7/31/2010 2:09,176.27
7/31/2010 2:09,54.92
7/31/2010 2:09,392.75
7/31/2010 2:09,301.74
7/31/2010 2:10,168.14
7/31/2010 2:10,385.58
7/31/2010 2:10,467.91
7/31/2010 2:10,153.25
7/31/2010 2:10,553
7/31/2010 2:10,446.01
7/31/2010 2:11,288.45
7/31/2010 2:11,684.83
7/31/2010 2:11,165.57
7/31/2010 2:11,687.29
7/31/2010 2:11,648.43
7/31/2010 2:11,360
7/31/2010 2:11,0
7/31/2010 2:11,208.1
7/31/2010 2:12,220
7/31/2010 2:12,146.2
7/31/2010 2:12,137.1
7/31/2010 2:12,606.4
7/31/2010 2:12,489.63
7/31/2010 2:13,487
7/31/2010 2:13,479.92
7/31/2010 2:13,79.53
7/31/2010 2:14,491.74
7/31/2010 2:14,233.49
7/31/2010 2:14,511.81
7/31/2010 2:14,335.63
7/31/2010 2:15,152.75
7/31/2010 2:15,673.8
7/31/2010 2:15,358.58
7/31/2010 2:15,200.21
7/31/2010 2:15,679.91
7/31/2010 2:15,147
7/31/2010 2:15,551.67
7/31/2010 2:16,228.57
7/31/2010 2:16,536.1
7/31/2010 2:16,317.67
7/31/2010 2:16,185.1
7/31/2010 2:16,498.87
7/31/2010 2:16,50
7/31/2010 2:16,214.18
7/31/2010 2:17,469
7/31/2010 2:17,231
7/31/2010 2:17,363.15
7/31/2010 2:17,44.9
7/31/2010 2:17,158.04
7/31/2010 2:18,153.37
7/31/2010 2:18,186.34
7/31/2010 2:18,50
7/31/2010 2:18,0
7/31/2010 2:18,0
7/31/2010 2:18,306.44
7/31/2010 2:18,115.32
7/31/2010 2:18,189.55
7/31/2010 2:19,486
7/31/2010 2:19,457.15
7/31/2010 2:19,587.68
7/31/2010 2:19,143.95
7/31/2010 2:19,536.72
7/31/2010 2:20,404.93
7/31/2010 2:20,205.45
7/31/2010 2:20,311.07
7/31/2010 2:21,451.62
7/31/2010 2:21,274.35
7/31/2010 2:21,224.69
7/31/2010 2:21,323.37
7/31/2010 2:21,42.4
7/31/2010 2:21,142.12
7/31/2010 2:21,201.17
7/31/2010 2:22,428.49
7/31/2010 2:22,300
7/31/2010 2:22,560.2
7/31/2010 2:22,626.83
7/31/2010 2:22,11.55
7/31/2010 2:22,225.6
7/31/2010 2:22,470.25
7/31/2010 2:23,286
7/31/2010 2:23,207.8
7/31/2010 2:23,359.35
7/31/2010 2:23,269
7/31/2010 2:23,73.9
7/31/2010 2:24,19.5
7/31/2010 2:24,150.1
7/31/2010 2:24,166.64
7/31/2010 2:24,16.05
7/31/2010 2:24,116.85
7/31/2010 2:24,33.45
7/31/2010 2:24,503.79
7/31/2010 2:24,111
7/31/2010 2:24,205.68
7/31/2010 2:24,0
7/31/2010 2:24,469.65
7/31/2010 2:24,155.4
7/31/2010 2:25,64.58
7/31/2010 2:25,208.66
7/31/2010 2:25,399.56
7/31/2010 2:25,225.53
7/31/2010 2:25,260.63
7/31/2010 2:26,0
7/31/2010 2:26,621.01
7/31/2010 2:26,605.74
7/31/2010 2:26,116.4
7/31/2010 2:26,521.95
7/31/2010 2:27,86
7/31/2010 2:27,127.8
7/31/2010 2:27,308.96
7/31/2010 2:27,497.44
7/31/2010 2:27,310.09
7/31/2010 2:28,127
7/31/2010 2:28,449.99
7/31/2010 2:28,190.73
7/31/2010 2:28,306.85
7/31/2010 2:28,363.03
7/31/2010 2:28,396.42
7/31/2010 2:29,178.49
7/31/2010 2:29,0
7/31/2010 2:29,221
7/31/2010 2:29,204.01
7/31/2010 2:29,120
7/31/2010 2:29,267.06
7/31/2010 2:29,211.78
7/31/2010 2:30,460.14
7/31/2010 2:30,608.09
7/31/2010 2:30,535.07
7/31/2010 2:30,386.62
7/31/2010 2:30,430.1
7/31/2010 2:31,469.42
7/31/2010 2:31,213.75
7/31/2010 2:31,302.9
7/31/2010 2:31,191.25
7/31/2010 2:31,156.22
7/31/2010 2:32,33.37
7/31/2010 2:32,432.99
7/31/2010 2:33,810.05
7/31/2010 2:34,264
7/31/2010 2:34,229.65
7/31/2010 2:34,289.69
7/31/2010 2:34,179.5
7/31/2010 2:34,431.02
7/31/2010 2:34,148.97
7/31/2010 2:35,176.07
7/31/2010 2:35,91.8
7/31/2010 2:35,61.5
7/31/2010 2:35,225.88
7/31/2010 2:36,494.29
7/31/2010 2:36,144.42
7/31/2010 2:36,99.84
7/31/2010 2:37,145.42
7/31/2010 2:37,415.62
7/31/2010 2:37,285
7/31/2010 2:37,552.42
7/31/2010 2:37,415.73
7/31/2010 2:37,135.51
7/31/2010 2:37,389.9
7/31/2010 2:37,521.89
7/31/2010 2:37,527.22
7/31/2010 2:37,514.85
7/31/2010 2:37,299.78
7/31/2010 2:38,191.33
7/31/2010 2:38,148.3
7/31/2010 2:38,500
7/31/2010 2:38,524.83
7/31/2010 2:38,275.49
7/31/2010 2:39,226.3
7/31/2010 2:39,88.94
7/31/2010 2:39,249.06
7/31/2010 2:39,29.19
7/31/2010 2:39,188.55
7/31/2010 2:40,558.55
7/31/2010 2:40,174.95
7/31/2010 2:40,125
7/31/2010 2:40,41.8
7/31/2010 2:40,74.5
7/31/2010 2:40,240.3
7/31/2010 2:40,376.24
7/31/2010 2:40,142
7/31/2010 2:40,499.24
7/31/2010 2:41,142.8
7/31/2010 2:41,527.19
7/31/2010 2:41,76.76
7/31/2010 2:41,160.56
7/31/2010 2:41,159.03
7/31/2010 2:42,508.17
7/31/2010 2:42,144.96
7/31/2010 2:42,69.2
7/31/2010 2:42,210.08
7/31/2010 2:42,356.63
7/31/2010 2:42,104.47
7/31/2010 2:42,255.36
7/31/2010 2:43,21.8
7/31/2010 2:43,307.38
7/31/2010 2:43,264.22
7/31/2010 2:43,77.56
7/31/2010 2:43,376.6
7/31/2010 2:43,148
7/31/2010 2:44,456.92
7/31/2010 2:44,170.6
7/31/2010 2:44,80
7/31/2010 2:44,164.9
7/31/2010 2:44,168
7/31/2010 2:44,609.13
7/31/2010 2:44,180.93
7/31/2010 2:45,518.2
7/31/2010 2:45,410.73
7/31/2010 2:45,50.34
7/31/2010 2:45,125.06
7/31/2010 2:45,16.9
7/31/2010 2:45,61.92
7/31/2010 2:45,364.92
7/31/2010 2:45,241.17
7/31/2010 2:46,626.1
7/31/2010 2:46,120.7
7/31/2010 2:47,173.5
7/31/2010 2:47,491.18
7/31/2010 2:47,251.51
7/31/2010 2:47,435.62
7/31/2010 2:48,320.29
7/31/2010 2:48,142.59
7/31/2010 2:48,343.13
7/31/2010 2:48,282.28
7/31/2010 2:48,35.16
7/31/2010 2:49,149.8
7/31/2010 2:50,501.99
7/31/2010 2:50,582.83
7/31/2010 2:50,204.59
7/31/2010 2:51,252.17
7/31/2010 2:51,216.15
7/31/2010 2:51,426.24
7/31/2010 2:52,202.1
7/31/2010 2:52,100
7/31/2010 2:52,80.11
7/31/2010 2:52,512.04
7/31/2010 2:52,425.82
7/31/2010 2:52,434.91
7/31/2010 2:52,227.92
7/31/2010 2:52,175.95
7/31/2010 2:52,781.91
7/31/2010 2:52,67.62
7/31/2010 2:52,325.57
7/31/2010 2:53,291.56
7/31/2010 2:53,116.87
7/31/2010 2:53,323.34
7/31/2010 2:53,497.02
